fecha,metodo,fps_promedio,tiempo_supervivencia,puntaje,detecciones,saltos,agachadas,falsos_positivos,falsos_negativos
2026-05-20 20:52:00,contornos,29.35,227.43,718,1198,245,1,0,0
2026-05-20 20:57:26,contornos,30.53,229.41,756,1378,136,14,0,0
2026-05-20 21:00:58,contornos,29.38,21.14,60,26,4,2,0,0
2026-05-20 21:05:07,contornos,30.64,166.48,549,621,107,1,0,0
2026-05-20 21:10:27,contornos,25.66,31.83,0,728,0,0,0,0
2026-05-20 21:13:56,contornos,30.86,194.44,542,1094,178,1,0,0
2026-05-20 21:24:04,contornos,30.29,269.96,905,1538,275,10,0,0
2026-05-20 21:37:07,contornos,29.81,207.29,906,1091,469,14,0,0
2026-05-20 21:38:43,contornos,29.49,82.8,888,456,178,5,0,0
2026-05-20 21:41:17,contornos,29.22,134.47,1842,733,299,13,0,0
2026-05-20 21:43:46,contornos,29.14,67.36,648,359,146,4,0,0
2026-05-20 21:48:08,contornos,29.36,237.06,892,1201,525,14,0,0
2026-05-20 21:49:40,contornos,29.58,65.21,640,317,138,1,0,0
2026-05-20 21:52:11,contornos,29.2,84.01,895,440,179,5,0,0
2026-05-20 22:01:24,contornos,29.17,98.68,886,617,173,7,0,0
2026-05-20 22:03:28,contornos,29.34,106.03,1133,478,214,6,0,0
2026-05-20 22:09:13,contornos,29.28,284.97,1199,1401,618,21,0,0
2026-05-20 22:13:35,contornos,29.02,82.1,888,399,169,7,0,0
2026-05-20 22:17:13,pixeles,29.76,25.1,115,137,29,0,0,0
2026-05-20 22:18:31,pixeles,29.42,63.43,620,329,124,3,0,0
2026-05-20 22:19:49,contornos,29.54,56.67,489,304,118,2,0,0
2026-05-20 22:21:41,contornos,29.9,60.16,496,271,119,1,0,0
2026-05-20 23:19:20,contornos,29.57,181.68,1421,1013,426,12,0,0
2026-05-20 23:23:21,pixeles,29.53,233.35,1417,1232,514,17,0,0
2026-05-21 00:37:53,contornos,28.41,767.06,1144,4426,1786,62,0,0
2026-05-21 00:39:21,pixeles,27.29,75.06,763,409,173,22,0,0
2026-05-21 01:09:53,contornos,29.76,501.15,1339,12192,3147,18,0,0
2026-05-21 01:20:24,contornos,27.34,180.85,473,1836,555,4,0,0
2026-05-21 01:25:30,contornos,25.93,229.61,601,1159,398,54,0,0
2026-05-22 22:49:08,contornos,25.41,123.94,531,943,250,9,0,0
2026-05-22 22:50:09,contornos,24.81,25.31,108,62,20,6,0,0
